Time,Road,Lane,Count
,,,
20-04-19 9:36,MG Road,Lane 2,30
,,,
20-04-19 10:25,New BEL Road,Lane 1,12
,,,
20-04-19 11:00,New BEL Road,Lane 1,16
,,,
20-04-19 11:36,Mekhri Circle,Lane 3,20
,,,
20-04-19 12:36,MG Road,Lane 2,25
,,,
,,,
,,,
,,,
24-05-19 1:01,New BEL Road,Lane 1,24
,,,
24-05-19 1:04,New BEL Road,Lane 2,14
,,,
24-05-19 1:09,New BEL Road,Lane 3,31
,,,
24-05-19 10:37,MG Road,Lane 1,24
,,,
24-05-19 10:39,MG Road,Lane 2,14
,,,
24-05-19 10:43,MG Road,Lane 1,20
,,,
24-05-19 10:44,MG Road,Lane 2,3
24-05-2019 11:14:05,MG Road,Lane 1,20
24-05-2019 11:14:42,MG Road,Lane 2,3
24-05-2019 11:50:03,MG Road,Lane 1,20
24-05-2019 11:50:43,MG Road,Lane 2,3
25-05-2019 12:24:09,MG Road,Lane 1,20
25-05-2019 12:24:51,MG Road,Lane 2,3
